part_id,hh_id,cont_id,part_age,age,part_gender,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member,cnt_occupation,cnt_household_id
6286,BE106286,628618,46,46,M,F,0,0,0,0,0,1,4,1,5,false,false,N,1,6286628618
6286,BE106286,628619,46,46,M,F,0,0,0,0,0,1,4,1,5,false,false,N,6,6286628619
6286,BE106286,628620,46,50,M,F,0,0,0,0,0,1,4,1,5,false,false,N,1,6286628620
6286,BE106286,628621,46,49,M,M,0,0,0,0,0,1,5,1,5,false,false,N,1,6286628621
6286,BE106286,628622,46,52,M,M,0,0,0,0,0,1,4,1,5,false,false,N,1,6286628622
6286,BE106286,628623,46,54,M,M,0,0,0,0,0,1,4,1,5,false,false,N,1,6286628623
6286,BE106286,628624,46,9,M,M,0,0,0,0,0,1,4,1,4,false,false,N,5,6286628624
6286,BE106286,628625,46,7,M,F,0,0,0,0,0,1,4,1,4,false,false,N,5,6286628625
6286,BE106286,628626,46,17,M,M,0,0,0,0,0,1,5,1,4,false,false,N,5,6286628626
6286,BE106286,628627,46,15,M,M,0,0,0,0,0,1,5,1,4,false,false,N,5,6286628627
6286,BE106286,628628,46,8,M,F,0,0,0,0,0,1,5,1,4,false,false,N,5,6286628628
6286,BE106286,628629,46,7,M,F,0,0,0,0,0,1,5,1,4,false,false,N,5,6286628629
6286,BE106286,628630,46,6,M,F,0,0,0,0,0,1,5,1,4,false,false,N,5,6286628630
6927,BE106927,692701,12,49,M,M,1,0,0,0,0,0,1,1,5,false,false,Y,1,BE106927
6927,BE106927,692702,12,48,M,F,1,0,0,0,0,0,1,1,1,false,false,Y,1,BE106927
6927,BE106927,692703,12,16,M,M,1,0,0,0,0,0,1,1,4,false,false,Y,5,BE106927
6927,BE106927,692704,12,12,M,M,0,0,1,1,0,0,1,2,5,false,false,N,5,6927692704
6927,BE106927,692705,12,12,M,M,0,0,1,1,0,0,1,2,5,false,false,N,5,6927692705
6927,BE106927,692706,12,12,M,M,0,0,1,0,0,0,1,2,2,false,false,N,5,6927692706
6927,BE106927,692707,12,12,M,M,0,0,1,0,0,0,1,1,3,false,false,N,5,6927692707
6927,BE106927,692708,12,12,M,M,0,0,1,0,0,0,1,1,3,false,false,N,5,6927692708
6927,BE106927,692709,12,12,M,M,0,0,1,0,0,0,1,1,3,false,false,N,5,6927692709
6927,BE106927,692710,12,12,M,M,0,0,1,0,0,0,1,2,1,false,false,N,5,6927692710
