part_id,hh_id,part_age,part_gender,part_occupation
625175,BE10625175,45,F,6
625820,BE10625820,41,F,1
628628,BE10628628,25,M,1
628763,BE10628763,2,M,6
629762,BE10629762,34,F,1
633492,BE10633492,54,M,1
636625,BE10636625,4,M,5
637994,BE10637994,84,F,3
642349,BE10642349,56,F,3
645379,BE10645379,57,F,1
645787,BE10645787,17,M,5
649428,BE10649428,72,M,2
649802,BE10649802,48,M,1
651226,BE10651226,8,M,5
652965,BE10652965,0,M,3
659083,BE10659083,33,M,1
662605,BE10662605,43,F,1
662679,BE10662679,42,F,1
663437,BE10663437,51,M,1
664572,BE10664572,30,F,1
665108,BE10665108,52,F,1
665471,BE10665471,30,F,1
675532,BE10675532,58,M,1
677245,BE10677245,0,M,6
683568,BE10683568,48,M,1
683661,BE10683661,66,F,2
683960,BE10683960,47,F,1
684191,BE10684191,65,F,3
687187,BE10687187,62,F,3
688896,BE10688896,4,F,5
690022,BE10690022,40,M,1
690218,BE10690218,45,M,6
691231,BE10691231,23,M,1
694847,BE10694847,52,M,1
697572,BE10697572,77,M,2
699139,BE10699139,2,F,6
699832,BE10699832,36,M,1
705053,BE10705053,29,M,1
706453,BE10706453,37,F,1
712628,BE10712628,54,F,4
713613,BE10713613,35,M,1
716531,BE10716531,28,M,1
717301,BE10717301,53,F,1
717368,BE10717368,54,F,1
718005,BE10718005,28,M,1
720636,BE10720636,22,M,1
721660,BE10721660,5,M,5
728399,BE10728399,79,F,3
729271,BE10729271,23,F,1
730678,BE10730678,44,F,1
731030,BE10731030,1,M,6
731543,BE10731543,4,M,5
731775,BE10731775,51,M,1
735293,BE10735293,31,F,1
737602,BE10737602,20,F,5
739384,BE10739384,43,M,1
739663,BE10739663,46,F,1
740381,BE10740381,73,M,2
746979,BE10746979,78,M,2
747173,BE10747173,6,M,5
748866,BE10748866,41,F,1
749014,BE10749014,13,M,5
751429,BE10751429,28,M,1
754840,BE10754840,12,M,5
755264,BE10755264,13,M,5
756792,BE10756792,11,F,5
759592,BE10759592,40,F,1
760289,BE10760289,24,M,5
764060,BE10764060,18,M,5
766042,BE10766042,22,F,5
767949,BE10767949,47,F,1
771592,BE10771592,21,M,5
772138,BE10772138,59,F,3
774736,BE10774736,42,F,1
775087,BE10775087,9,M,5
781682,BE10781682,32,F,1
787147,BE10787147,34,F,1
787539,BE10787539,62,F,3
790064,BE10790064,20,M,5
791137,BE10791137,9,F,5
792729,BE10792729,44,F,1
793721,BE10793721,35,F,1
797468,BE10797468,3,F,5
797667,BE10797667,36,M,1
798806,BE10798806,43,F,6
798895,BE10798895,42,F,1
799900,BE10799900,8,M,5
801970,BE10801970,45,F,1
802686,BE10802686,47,F,1
802823,BE10802823,39,F,4
802832,BE10802832,50,M,1
813637,BE10813637,51,F,1
814881,BE10814881,11,F,5
826660,BE10826660,7,M,5
831234,BE10831234,8,F,5
831518,BE10831518,12,F,5
832009,BE10832009,39,F,1
834865,BE10834865,29,F,1
837008,BE10837008,3,F,5
837912,BE10837912,44,F,1
841628,BE10841628,52,F,1
844285,BE10844285,0,M,3
844699,BE10844699,19,F,5
845019,BE10845019,49,M,1
845035,BE10845035,77,F,3
850275,BE10850275,33,M,1
851575,BE10851575,45,F,1
853727,BE10853727,45,F,1
853919,BE10853919,35,M,1
854253,BE10854253,15,M,5
856642,BE10856642,71,F,2
859753,BE10859753,52,M,1
862923,BE10862923,27,F,1
866483,BE10866483,28,M,1
866536,BE10866536,68,M,2
868501,BE10868501,11,M,5
869204,BE10869204,38,M,1
