part_id,part_age,part_gender,part_occupation
1231269,2,M,3
1234370,8,M,5
1237639,27,M,1
1240798,50,F,4
1242890,0,M,3
1245737,36,M,1
1245844,2,M,5
1249311,50,F,1
1250302,44,F,1
1250694,72,M,2
1256412,60,M,2
1257498,27,F,1
1260167,46,F,1
1262512,26,M,1
1264568,9,F,5
1266981,55,M,1
1268013,48,F,1
1273277,35,F,5
1273449,85,F,2
1273685,39,M,1
1280349,16,F,5
1280774,36,F,1
1281859,7,F,5
1281955,39,F,1
1285390,39,F,1
1288568,51,F,1
1289390,66,F,3
1289728,58,M,1
1289836,48,M,1
1290552,61,M,1
1293783,38,M,1
1294183,8,F,5
1295545,20,M,5
1296975,36,F,1
1299019,12,M,5
1306089,72,M,2
1310075,58,F,1
1310696,47,F,1
1325029,37,M,1
1336510,84,F,3
1340820,31,F,1
1342863,84,F,3
1346824,47,M,1
1346909,44,F,1
1348959,20,M,5
1352674,19,M,1
1352968,40,F,1
1354524,31,F,1
1357391,47,M,1
1358280,26,F,1
1361510,45,M,1
1370065,40,M,1
1372432,34,F,1
1375124,40,F,1
1378696,17,F,5
1378993,49,F,1
1379123,53,M,1
1382751,8,F,5
1384393,67,F,3
1385400,8,M,5
1391789,18,F,5
1393380,64,F,3
1397854,65,M,2
1397948,25,M,4
1398226,2,F,6
1398299,34,F,1
1403246,2,M,5
1403382,90,M,2
1404809,4,M,5
1407117,29,M,1
1409165,61,M,1
1409385,3,F,5
1411279,12,M,5
1420558,9,M,5
1422353,71,F,2
1425561,8,M,5
1428182,65,F,2
1428300,42,M,1
1429667,64,M,2
1429847,29,F,1
1436300,44,F,1
1436931,49,M,1
1451224,34,M,1
1452695,0,M,3
1453162,49,F,4
1455031,44,F,1
1459913,0,F,6
1461819,45,M,1
1472986,17,F,5
1473067,40,F,1
1473125,10,M,5
1475520,53,F,1
1476145,28,M,1
1478840,38,F,1
1481870,10,F,5
1482261,54,M,1
1489215,15,F,5
1491454,49,F,1
1494532,41,F,4
1495481,19,M,5
1496421,92,M,2
1500946,5,M,6
1504206,6,F,5
1504650,49,F,1
1505530,3,F,5
1509942,38,F,4
1510259,17,M,5
1523563,46,F,1
1523808,0,M,6
1524177,42,M,1
1530368,51,F,4
1532781,73,M,2
1541431,11,F,5
1549459,39,M,1
1554236,0,M,6
1558381,1,M,3
1558614,23,F,1
1559561,6,F,5
1576626,15,M,5
1576712,15,F,5
1578453,11,M,5
1579597,7,F,5
1584740,30,F,1
1586919,9,M,5
1588703,54,M,3
1590034,49,M,1
1590470,71,F,3
1590819,7,M,5
1591007,46,M,1
1595935,30,M,1
1598270,0,F,6
1599519,28,F,1
1600998,43,M,1
1605343,42,F,1
1606352,24,F,5
1608191,61,M,2
1609278,64,M,6
1611006,46,F,1
1612529,31,F,1
1612821,70,F,2
1613849,51,F,1
1621562,43,F,1
1621788,35,F,1
1623954,28,M,1
1627099,49,F,1
1630521,32,M,1
1630675,47,F,1
1630704,28,M,1
1631056,41,M,1
1647083,50,F,1
1649738,26,M,1
1653677,16,M,5
1654038,47,F,1
1659158,70,F,3
1659735,34,F,1
1661851,49,M,1
1672154,58,F,3
1673852,0,F,6
1674715,43,F,6
1674957,26,F,1
1680353,63,M,2
1681269,26,M,1
1681278,44,M,1
1690648,8,F,5
1692420,51,F,1
1692552,51,M,1
1692657,65,F,4
1693429,24,F,1
1693807,41,M,1
1695775,53,F,1
1696768,77,M,2
1698777,37,F,1
1709030,53,F,1
1722766,0,F,6
1723856,2,M,5
1725215,49,F,1
1725978,2,F,5
1726426,46,M,1
1730744,31,F,4
1742042,34,M,1
1752099,49,M,1
1756238,39,F,1
1760053,33,F,1
1764272,62,M,2
1772799,0,M,6
1773458,3,F,5
1782073,37,M,1
1782328,25,F,1
1783909,46,M,1
1792042,1,M,6
1792225,36,M,1
1792280,21,M,5
1800887,47,F,1
1802415,33,M,4
1806241,34,M,1
1812729,64,M,2
1816406,35,F,1
1831685,47,F,1
1831686,7,M,5
1845479,84,M,2
1847859,35,M,1
1852219,23,M,5
1853372,53,F,1
1853417,77,F,3
1855251,30,M,1
1855531,73,F,3
1855719,23,M,5
1857424,42,F,3
1870264,33,F,1
1872396,36,F,1
1873453,29,M,1
1875588,7,F,5
1879039,1,F,6
1883604,40,F,1
1884589,33,F,1
1884850,14,F,5
1884960,48,F,1
1885217,42,M,1
1885830,63,M,2
1897845,16,M,5
1898184,41,F,1
1898958,68,F,3
1903720,0,F,NA
1905662,35,F,1
1907281,42,F,1
1910577,41,F,1
1912031,87,M,2
1912923,18,F,5
1913741,78,F,3
1917048,3,F,5
1918747,30,F,1
1920918,43,F,1
1926226,1,M,6
1934483,7,F,5
1934666,46,F,1
1942939,5,M,5
1944122,27,M,1
1956565,5,M,5
1956865,85,M,3
1963183,64,F,2
1963806,84,M,2
1968886,47,M,1
1969308,2,M,6
1969565,1,M,6
1971182,7,F,5
1984762,11,M,5
1995289,20,F,5
1998644,41,F,3
2000279,13,F,5
2013264,39,F,3
2015361,37,M,1
2017841,43,M,1
2023250,74,M,2
2023267,31,M,1
2024100,51,M,1
2025318,38,F,1
2029873,54,F,1
2034097,40,F,1
2034768,40,F,4
2035239,6,M,5
2038087,58,M,6
2053694,2,M,6
2079701,3,M,5
2083865,0,M,3
2090081,16,M,5
2090355,54,F,3
2097163,25,M,4
2098284,0,F,6
2109257,28,F,NA
2112961,30,M,1
2122475,27,M,1
2126389,5,M,5
2130421,10,M,5
2141029,83,M,2
2145953,64,M,2
2146450,34,M,1
2148092,62,M,2
2148224,67,M,2
2156217,81,M,2
2157328,36,F,1
2158527,43,M,1
2159002,43,F,1
2159165,26,F,1
2161229,27,M,6
2161921,7,F,5
2166193,39,F,6
2167690,38,F,1
2173304,1,F,6
2173609,35,M,1
2194071,6,F,5
2194402,0,M,6
2194970,1,F,6
2198621,3,M,5
2204434,8,F,5
2207682,24,M,1
2212889,72,F,3
2213163,23,M,1
2215213,66,F,1
2216393,83,M,2
2231203,35,M,1
2235426,23,M,1
2243534,25,F,1
2254465,60,M,2
2254570,18,F,5
2254629,4,M,5
2255082,56,F,1
2255249,7,M,5
2256184,26,F,1
2261418,26,F,1
2280661,45,M,1
2302570,33,M,1
2302954,75,F,2
2311137,31,F,1
2324845,23,F,1
2325643,46,F,1
2326885,69,F,2
2327768,1,F,6
2329893,0,F,5
2331796,2,F,6
2339109,9,F,5
2345233,71,F,2
2345241,40,F,1
2347121,53,M,1
2349737,46,F,1
2352535,37,F,1
2353447,30,M,1
2356378,49,M,1
2357646,26,M,4
2362593,3,M,5
2383026,38,F,1
2383406,27,M,1
2392348,51,F,1
2392886,28,F,1
2398359,31,F,1
2403223,9,F,5
2422923,8,F,5
2435901,9,F,5
2442978,25,F,1
2448928,27,M,1
2452963,44,M,1
