id,num_contact,age,occupation
409,230,52,1
410,225,27,1
411,127,28,1
412,16,68,3
413,241,11,5
414,96,38,1
415,234,24,1
416,6,76,3
417,104,55,1
418,223,27,5
419,12,51,3
420,27,58,3
421,235,17,5
422,213,14,5
423,124,42,1
424,28,78,3
425,125,47,1
426,10,50,3
427,32,61,3
428,30,54,3
429,152,36,1
430,236,39,1
431,96,44,1
432,28,1,3
433,148,45,1
434,116,19,1
435,21,51,3
436,102,27,1
437,118,52,1
438,11,76,3
439,232,52,1
440,3,78,3
441,228,10,5
442,236,3,5
443,226,26,1
444,122,50,1
445,30,66,3
446,23,64,3
447,10,2,3
448,133,46,1
449,106,48,1
450,4,68,3
451,216,7,5
452,6,68,3
453,248,52,1
454,238,52,1
455,206,4,5
456,123,53,1
457,140,51,1
458,242,35,1
459,230,51,1
460,29,63,3
461,22,60,3
462,209,11,5
463,143,52,1
464,131,49,1
465,203,18,5
466,233,43,5
467,206,54,1
468,240,14,5
469,245,3,5
470,231,14,5
471,26,64,3
472,32,1,3
473,232,18,5
474,231,12,5
475,123,44,1
476,257,48,1
477,237,18,5
478,28,1,3
479,11,66,3
480,128,32,1
481,39,78,3
482,228,18,5
483,119,36,1
484,212,46,1
485,225,53,1
486,22,56,3
487,118,40,1
488,158,26,1
489,269,14,5
490,26,82,3
491,31,59,3
492,17,2,3
493,4,83,3
494,125,48,1
495,19,52,3
496,26,73,3
497,260,19,5
498,17,76,3
499,112,51,1
500,107,37,1
501,148,28,1
502,123,49,1
503,230,8,5
504,230,13,5
505,244,21,5
506,233,41,1
507,114,38,1
508,17,52,3
509,27,24,3
510,239,9,5
511,0,71,3
512,9,76,3
513,16,79,3
514,112,41,1
515,130,49,1
516,229,12,5
517,6,73,3
518,245,3,5
519,225,42,1
520,239,14,5
521,132,38,1
522,18,73,3
523,119,28,1
524,21,62,3
525,19,68,3
526,17,0,3
527,140,27,1
528,145,29,1
529,195,55,1
530,236,20,1
531,228,35,1
532,243,54,1
533,21,69,3
534,234,6,5
535,208,5,5
536,102,27,1
537,231,6,5
538,225,45,1
539,136,37,1
540,210,5,5
541,134,35,1
542,246,6,5
543,132,54,1
544,246,27,1
545,240,41,1
546,209,26,1
547,235,8,5
548,23,59,3
549,258,15,5
550,214,44,1
551,7,68,3
552,138,32,1
553,145,49,1
554,102,38,1
555,228,21,5
556,217,22,5
557,211,50,1
558,19,54,3
559,26,87,3
560,148,35,1
561,243,41,1
562,216,33,1
563,134,30,1
564,216,22,5
565,131,50,1
566,235,12,5
567,247,2,5
568,218,51,1
569,11,59,3
570,29,62,3
571,11,54,3
572,102,30,1
573,205,42,1
574,128,33,1
575,110,43,1
576,229,7,5
577,232,39,1
578,227,52,1
579,210,10,5
580,130,41,1
581,132,51,1
582,204,36,1
583,142,52,1
584,23,38,3
585,3,2,3
586,211,8,5
587,142,27,1
588,26,50,3
589,16,0,3
590,119,36,1
591,214,2,5
592,116,50,1
593,159,44,1
594,36,72,3
595,6,60,3
596,239,27,1
597,204,46,1
598,223,26,1
599,216,9,5
600,221,55,1
601,133,48,1
602,223,35,5
603,32,85,3
604,131,39,1
605,228,16,5
606,233,36,1
607,229,7,5
608,113,39,1
609,220,39,1
610,224,51,1
611,34,66,3
612,233,58,1
613,133,48,1
614,207,61,1
615,116,38,1
616,250,8,5
617,223,20,5
618,207,36,1
619,249,12,5
620,16,72,3
621,129,58,1
622,250,47,1
623,149,37,1
624,16,84,3
625,121,31,1
626,9,84,3
627,256,47,1
628,147,44,1
629,196,20,5
630,127,19,1
631,99,40,1
632,112,31,1
633,139,47,1
634,127,26,1
635,223,45,1
636,246,40,1
