id,num_contact,age,occupation
793,135,33,1
794,125,36,1
795,218,29,1
796,226,7,5
797,24,1,3
798,117,40,1
799,118,33,1
800,268,14,5
801,231,48,1
802,139,42,1
803,3,63,3
804,205,16,5
805,144,41,1
806,16,68,3
807,2,0,3
808,107,35,1
809,156,42,1
810,136,41,1
812,205,18,5
813,11,78,3
814,238,3,5
815,210,30,1
816,120,43,1
817,33,1,3
818,230,7,5
819,125,46,1
820,244,5,5
821,127,27,1
822,240,5,5
824,22,64,3
825,29,84,3
826,135,47,1
827,28,2,3
828,6,1,3
829,247,7,5
830,210,11,5
831,234,20,5
832,22,41,3
833,223,13,5
834,12,39,3
835,201,37,1
836,124,43,1
837,21,74,3
838,184,31,1
839,131,51,1
840,106,38,1
841,133,54,1
842,232,40,1
843,28,40,3
844,234,6,5
845,214,58,1
846,5,2,3
847,231,3,5
848,19,0,3
849,236,16,5
850,29,54,3
851,25,25,3
852,15,0,3
853,223,28,1
854,121,30,1
855,128,27,1
856,225,5,5
857,240,10,5
858,21,83,3
859,17,64,3
860,123,34,1
861,10,62,3
862,2,67,3
863,11,81,3
864,248,36,1
865,123,43,1
866,129,43,1
867,136,26,1
868,134,27,1
869,210,7,5
870,133,39,1
871,113,38,1
872,2,1,3
873,123,35,1
874,251,6,5
875,6,0,3
876,23,1,3
877,240,3,5
878,197,8,5
879,233,24,1
880,10,72,3
881,228,23,1
882,125,66,1
883,19,83,3
884,230,35,1
885,118,23,1
886,141,25,1
887,23,60,3
888,226,18,5
889,252,4,5
890,250,56,1
891,262,7,5
892,207,26,1
893,234,26,1
894,241,45,1
895,159,33,1
896,19,75,3
897,142,31,1
898,117,23,1
899,120,46,1
900,30,69,3
901,22,1,3
902,245,0,5
903,16,2,3
904,245,9,5
905,4,71,3
906,114,40,1
907,130,53,1
908,154,46,1
909,115,37,1
910,208,30,1
911,110,49,1
912,5,26,3
913,213,3,5
914,130,38,1
915,245,27,1
916,231,51,1
917,164,28,1
918,111,31,1
919,237,9,5
920,253,8,5
921,220,9,5
922,98,25,1
923,236,27,1
924,219,44,1
925,25,17,3
926,131,44,1
927,236,38,1
928,237,25,1
929,106,40,1
930,27,64,3
931,215,4,5
932,221,37,1
933,6,0,3
934,212,5,5
935,211,34,1
936,19,25,3
937,135,31,1
938,119,30,1
939,232,6,5
940,139,41,1
941,147,25,1
942,238,48,1
943,248,4,5
944,37,1,3
945,220,43,1
946,214,37,1
947,200,48,1
948,115,39,1
949,115,63,1
950,192,61,1
951,213,3,5
952,247,37,1
953,16,68,3
954,216,64,1
955,224,18,5
956,121,53,1
957,16,70,3
958,186,41,1
959,229,42,1
960,36,65,3
961,106,30,1
962,17,76,3
963,19,59,3
964,209,5,5
965,32,69,3
966,118,57,1
967,236,40,1
968,246,6,5
969,216,11,5
970,12,80,3
971,13,67,3
972,12,61,3
973,20,61,3
974,112,53,1
975,227,72,1
976,1,67,3
977,136,42,1
978,32,70,3
979,200,14,5
980,216,57,1
981,145,52,1
982,30,85,3
983,130,74,1
984,6,65,3
985,235,12,5
986,27,65,3
987,144,54,1
988,222,12,5
989,15,75,3
990,145,45,1
991,219,35,1
992,137,40,1
993,232,31,1
994,222,30,1
995,213,7,5
996,30,64,3
997,7,74,3
998,31,79,3
999,223,29,1
1000,247,19,5
1001,15,87,3
1002,239,22,1
1003,29,2,3
1004,18,75,3
1005,3,75,3
1006,203,13,5
1007,133,41,1
1008,27,65,3
1009,266,36,1
1010,16,70,3
1011,138,34,1
1012,223,6,5
1013,23,73,3
1014,13,85,3
1015,144,61,1
1016,230,15,5
1017,129,54,1
1018,133,29,1
1019,16,51,3
1020,199,56,1
1021,25,52,3
1022,127,31,1
1023,211,42,1
1024,238,61,1
1025,272,48,1
1026,220,43,1
1027,133,59,1
1028,41,71,3
1029,29,74,3
1030,17,86,3
1031,208,17,5
1032,220,56,1
1033,9,75,3
1034,21,62,3
1035,234,9,5
1036,205,46,1
1037,214,8,5
1038,13,54,3
1039,130,46,1
1040,23,79,3
1041,4,72,3
1042,230,51,1
1043,10,65,3
1044,238,86,1
1045,10,62,3
1046,230,51,1
1047,239,46,1
1048,21,70,3
1049,227,55,1
1050,23,60,3
1051,3,65,3
1052,239,10,5
1053,250,28,1
1054,15,69,3
1055,219,4,5
1056,241,58,1
1057,23,88,3
1058,207,39,1
1059,240,25,1
1060,236,8,5
1061,16,2,3
1062,106,52,1
1063,115,38,1
1064,253,5,5
1065,138,41,1
1066,245,9,5
1067,129,28,1
1068,25,52,3
1069,26,89,3
1070,146,46,1
1071,148,29,1
1072,23,75,3
1073,110,52,1
1074,217,40,1
1075,28,79,3
1076,222,46,1
1077,114,60,1
1078,2,69,3
1079,226,34,1
1080,103,26,1
1081,232,35,1
1082,229,8,5
1083,130,28,1
1084,214,44,1
1085,260,8,5
1086,215,6,5
1087,22,84,3
1088,130,20,1
1089,221,7,5
1090,148,31,1
1091,129,25,1
1092,226,34,1
1093,121,26,1
1094,219,11,5
1095,29,58,3
1096,4,65,3
1097,7,61,3
1098,243,37,1
1099,253,9,5
1100,120,48,1
1101,239,28,1
1102,203,53,1
1103,116,73,1
1104,141,70,1
1105,29,52,3
1106,127,30,1
1107,263,35,1
1108,9,67,3
1109,20,67,3
1110,15,54,3
1111,220,48,1
1112,14,1,3
1113,5,74,3
1114,13,68,3
1115,14,62,3
1116,35,51,3
1117,23,82,3
1118,19,98,3
1119,215,32,1
1120,30,71,3
1121,13,77,3
1122,10,26,3
1123,123,51,1
1124,130,26,1
1125,133,28,1
1126,26,90,3
1127,127,30,1
1128,219,26,5
1129,15,76,3
1130,136,35,1
1131,232,56,1
1132,257,6,5
1133,254,46,1
1134,211,53,1
1135,131,44,1
1136,236,28,1
1137,245,36,1
1138,222,50,1
1139,123,42,1
1140,217,3,5
1141,22,54,3
1142,11,54,3
1143,227,5,5
1144,110,35,1
1145,237,5,5
1146,171,55,1
1147,256,15,5
1148,121,47,1
1149,249,14,5
1150,29,59,3
1151,209,20,5
1152,35,66,3
1153,247,38,1
1154,17,57,3
1155,144,53,1
1156,213,32,1
1157,229,22,5
1158,131,43,1
1159,24,62,3
1160,8,73,3
1161,212,22,5
1162,257,46,1
1163,29,60,3
1164,245,4,5
1165,141,30,1
1166,234,46,1
1167,185,51,1
1168,12,24,3
1169,21,67,3
1170,15,69,3
1171,237,13,5
1172,125,52,1
1173,229,46,1
1174,209,44,1
1175,6,22,3
1176,6,80,3
1177,30,66,3
1178,130,38,1
1179,113,46,1
1180,117,38,1
1181,229,4,5
1182,223,10,5
1183,14,2,3
1184,9,38,3
1185,226,41,1
1186,109,51,1
1187,30,65,3
1188,10,1,3
1189,181,53,1
1190,18,66,3
1191,8,39,3
1192,7,78,3
1193,7,61,3
1194,29,81,3
1195,127,39,1
1196,125,55,1
1197,20,60,3
1198,222,33,1
1199,222,51,1
1200,218,15,5
1201,31,55,3
1202,208,32,1
1203,271,51,1
1204,18,71,3
1205,260,6,5
1206,114,30,1
1207,117,58,1
1208,113,26,1
1209,220,9,5
1210,210,56,1
1211,210,47,1
1212,9,76,3
1213,19,66,3
1214,17,76,3
1215,29,49,3
1216,227,22,5
1217,220,46,1
1218,129,34,1
1219,202,62,1
1220,34,69,3
1221,10,58,3
1222,131,59,1
1223,25,61,3
1224,203,20,5
1225,12,68,3
1226,242,51,1
1227,226,49,1
1228,204,25,1
1229,128,27,1
1230,139,43,1
1231,156,44,1
1232,144,48,1
1233,143,38,1
1234,239,44,1
1235,212,12,5
1236,236,45,1
1237,270,56,1
1238,259,28,1
1239,135,39,1
1240,131,24,1
1241,223,41,1
1242,11,1,3
1243,236,52,1
1244,105,50,1
1245,20,67,3
1246,227,45,1
1247,21,44,3
1248,106,58,1
1249,24,76,3
1250,107,42,1
1251,223,60,1
1252,117,38,1
1253,245,46,1
1254,139,47,1
1255,255,7,5
1256,21,2,3
1257,236,9,5
1258,224,4,5
1259,227,41,1
1260,250,9,5
1261,113,40,1
1262,117,31,1
1263,18,72,3
1264,20,78,3
1265,22,54,3
1266,260,54,1
1267,207,11,5
1268,120,35,1
1269,35,2,3
1270,231,5,5
1271,219,52,1
1272,115,31,1
1273,216,4,5
1274,32,86,3
1275,220,24,5
1276,19,33,3
1277,118,43,1
1278,10,50,3
1279,124,47,1
1280,122,48,1
1281,15,2,3
1282,241,15,5
1283,119,52,1
1284,15,49,3
1285,131,48,1
1286,235,4,5
1287,103,37,1
1288,226,42,1
1289,25,53,3
1290,215,13,5
1291,217,6,5
1292,146,44,1
1293,249,4,5
1294,259,21,1
1295,167,5,5
1296,221,27,1
1297,111,52,1
1298,220,52,1
1299,254,32,1
1300,225,19,5
1301,133,42,1
1302,232,3,5
1303,206,39,1
1304,237,18,5
1305,123,42,1
1306,231,10,5
1307,128,24,1
1308,16,66,3
1309,207,45,1
1310,223,31,1
1311,196,30,1
1312,243,27,1
1313,113,42,1
1314,15,72,3
1315,214,24,1
1316,223,52,1
1317,26,64,3
1318,128,35,1
1319,23,39,3
1320,123,35,1
1321,200,9,5
1322,224,50,1
1323,107,57,1
1324,234,3,5
1325,140,25,1
1326,207,49,1
1327,145,28,1
1328,127,33,1
1329,137,39,1
1330,7,54,3
1331,3,65,3
1332,250,55,1
1333,231,49,1
1334,233,13,5
1335,137,32,1
1336,256,21,5
1337,123,24,1
1338,27,62,3
1339,145,38,1
1340,22,74,3
1341,254,2,5
1342,131,31,1
1343,239,3,5
1344,143,52,1
1345,119,25,1
1346,20,70,3
1347,224,29,1
1348,116,46,1
1349,30,1,3
1350,211,47,1
1351,125,50,1
1352,135,56,1
1353,238,39,1
1354,232,20,5
1355,104,37,1
1356,255,40,1
1357,26,91,3
1358,130,38,1
1359,129,29,1
1360,150,43,1
1361,252,34,1
1362,250,48,1
1363,162,28,1
1364,45,72,3
1365,33,1,3
1366,129,58,1
1367,24,78,3
1368,126,42,1
1369,239,48,1
1370,103,48,1
1371,132,45,1
1372,216,6,5
1373,14,67,3
1374,202,55,1
